,cg1,cg2,cg3,cg4,cg5,cl1,cl2,cl3,cw1,cw2,cw3,sg2,sg3,sg4,sg5,sg6,sl1,sl2,sl3,sw1,sw2,sw3
WBGene00001734,19,42,115,55,41,5,5,3,0,7,5,0,0,1674,582,760,38,115,0,0,0,2958
WBGene00001735,4,3,0,1,3,5,4,0,8,2,6,0,47,112,687,1574,16,70,0,1,18,0
WBGene00001736,99,72,39,30,41,105,107,14,92,148,91,0,55,495,16,75,122,0,134,97,1902,0
WBGene00001737,1,1,0,1,1,1,1,0,0,2,0,0,0,49,3,0,12,0,0,6,24,0
WBGene00001738,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1
WBGene00001739,0,2,2,0,1,3,4,0,0,0,0,0,0,0,49,0,0,1,0,0,60,0
WBGene00001740,362,292,344,200,265,418,391,452,351,250,306,0,389,89,423,384,784,232,510,585,1162,0
WBGene00001743,805,683,693,426,549,892,1017,786,835,808,571,7775,951,2124,5326,3494,2875,4452,3179,1985,5034,2228
WBGene00001744,6215,5214,6776,4151,5375,6261,6422,6952,6239,7815,6784,8096,4882,2434,2667,2135,6315,294,1578,6331,6637,989
WBGene00001745,1101,950,553,378,897,895,1012,501,596,793,298,86433,5566,32440,55965,49817,34574,27876,48576,53165,25320,8335
WBGene00001746,2737,2330,1471,1328,2434,2863,3017,1277,2379,2646,1445,2039,920,1838,1339,948,1653,475,1656,1767,1652,1531
WBGene00001747,5826,4674,4784,2824,4604,5800,6001,4292,5844,6896,3977,2082,3613,5451,5894,3459,5583,3158,3082,6946,10325,1246
WBGene00001748,10601,9174,8900,4912,7888,9354,10221,9621,9065,10389,7801,955,2497,3208,2443,1566,2782,887,1101,2700,2512,1235
WBGene00001749,5055,3859,6646,3516,4375,4142,4908,9201,4925,5667,8501,2492,5083,6219,3825,3529,5270,3052,3404,6191,6080,922
WBGene00001750,15,11,7,5,8,17,7,5,31,11,9,514,118,608,59,226,54,60,37,40,140,0
WBGene00001751,67,96,61,36,82,94,63,85,43,44,52,0,550,2363,2267,1977,1281,2750,853,750,839,837
WBGene00001752,305,188,315,358,255,394,365,403,389,182,626,2525,3562,4084,1612,743,1794,454,1205,2831,3070,1213
WBGene00001753,2906,2744,2867,2074,2151,2559,2417,4157,2981,3151,4640,15802,30518,46631,33947,30449,28582,13613,14863,38632,21719,5704
WBGene00001754,2001,1728,1507,527,559,2110,1719,3351,1838,2001,2380,4160,18337,7206,7306,3861,3902,3261,1523,7249,2085,479
WBGene00001755,3741,3632,5711,2384,2788,3889,4190,10227,3512,4130,6056,14163,12522,39599,9646,10224,13717,2780,3404,19581,13638,5909
WBGene00001756,14,9,150,51,35,13,6,144,1,4,74,0,315,107,133,89,105,47,0,82,318,150
WBGene00001757,54,49,46,30,40,98,71,64,65,31,37,0,133,167,109,56,101,185,53,71,152,0
WBGene00001758,2517,1789,2778,1044,1348,1535,1882,4413,1766,2643,4627,6849,7597,44311,20623,15682,8869,3568,12329,10210,9445,3114
WBGene00001759,66,72,55,17,60,61,64,70,61,60,49,1,74,643,573,646,771,681,546,789,794,322
WBGene00001760,236,230,68,30,71,150,129,106,165,122,163,0,212,376,459,484,420,242,233,280,240,284
WBGene00001761,2105,1777,3778,1856,1491,1618,1660,6635,1805,1902,4938,371,16965,9201,9207,6537,10941,4432,4151,19359,5832,643
WBGene00001762,70,87,9,8,21,54,42,43,84,44,12,0,11,77,133,0,43,0,0,78,37,0
WBGene00001763,106,129,35,25,63,73,78,46,76,51,55,0,114,915,634,504,233,462,341,180,310,193
WBGene00001764,63,49,48,66,73,54,51,43,62,64,79,0,294,963,1037,1104,887,1067,573,1280,669,0
WBGene00001765,12,7,3,1,1,5,5,7,3,3,3,0,0,0,1,0,5,0,1,0,0,0
WBGene00001766,2,3,0,0,0,1,2,1,0,0,0,0,8,0,0,11,0,4,0,10,0,0
WBGene00001767,31,23,122,136,75,26,19,214,25,25,231,0,29,2325,797,394,604,133,187,808,247,684
WBGene00001768,1449,1523,788,731,854,1221,1183,1415,1091,841,1649,7433,23423,45306,17368,13265,14349,3472,2158,12633,4251,5739
WBGene00001769,139,104,207,187,97,112,103,136,107,127,167,5105,494,1024,1127,1390,1215,2114,1596,1313,490,403
WBGene00001770,387,436,343,164,243,362,316,484,423,370,413,0,2005,70,450,264,284,265,164,614,417,1691
WBGene00001771,67,83,40,11,22,63,68,57,70,81,60,0,0,0,0,0,18,0,0,26,20,5
WBGene00001772,934,1054,313,197,242,714,753,655,720,685,761,15937,4781,38645,40447,33380,27524,27696,23023,20226,19177,9152
WBGene00001773,1,5,3,2,0,6,8,4,11,7,1,0,0,0,73,69,0,65,1,89,93,0
WBGene00001774,2908,2624,3261,1564,1617,2217,2488,6257,2574,3404,5949,564,7984,2086,2069,1255,3350,239,1133,5425,2161,1526
WBGene00001775,3403,3356,4242,2246,2324,2920,3088,6448,3737,4503,5967,11600,26903,9364,9235,6782,9650,1608,4649,14775,4910,10365
WBGene00001776,784,717,881,318,342,723,821,2145,789,888,1922,839,398,699,755,1029,1315,289,641,1347,1689,12
WBGene00001777,30,35,47,41,78,13,17,61,16,27,43,0,28,6,4,0,0,79,1,58,46,0
WBGene00001778,17,11,3,1,11,28,35,1,32,15,1,0,0,69,0,45,24,0,17,0,22,2
WBGene00001779,22,18,16,23,19,16,14,16,18,22,48,0,6,217,187,419,120,160,150,228,136,0
WBGene00001780,2,11,1,2,9,4,7,12,7,2,10,0,0,0,0,0,1,0,0,0,38,1
WBGene00001781,126,120,171,144,72,98,123,225,119,159,149,0,712,721,126,262,399,66,439,465,109,0
WBGene00001782,7,19,3,0,0,11,14,1,11,8,0,0,0,0,17,0,0,31,7,0,10,241
WBGene00001783,164,105,85,103,129,108,106,76,134,149,103,0,21,239,31,32,48,0,24,8,39,0
WBGene00001784,2518,2411,2613,1301,1344,2248,2129,4241,2547,2701,4813,2052,768,968,829,770,1107,355,343,2052,588,482
WBGene00001785,2,1,1,1,2,0,2,1,1,1,0,0,0,0,0,23,0,0,0,0,0,2
WBGene00001786,219,218,374,199,126,203,240,491,250,228,317,0,2529,1270,1280,1287,913,204,436,2019,1106,446
WBGene00001787,516,538,479,337,386,522,567,617,611,614,752,0,137,644,109,146,221,35,89,250,193,0
WBGene00001788,92,83,79,38,60,71,74,52,63,69,65,2,167,3782,3943,3003,2952,2331,1232,2409,1647,1955
WBGene00001789,174,162,34,12,24,125,121,34,145,35,21,0,54,734,223,456,324,110,0,42,80,258
WBGene00001790,1289,1156,1709,1087,1284,1105,1034,2768,1206,1360,2733,13992,3755,8984,5980,4496,3099,891,1179,3994,1587,2728
WBGene00001791,404,391,355,246,286,374,316,585,314,291,444,0,262,28,101,16,206,41,13,312,179,0
WBGene00001792,13,7,43,33,9,16,19,37,6,12,15,0,547,702,209,14,93,55,0,18,202,486
WBGene00001793,4251,3745,5359,3157,5652,3979,4581,5763,3460,4062,4742,4037,4176,2681,3661,2310,5006,1638,2177,4509,6415,2197
WBGene00001794,16954,15329,33948,14910,23770,15823,15904,42820,17510,17477,32407,16214,9383,14294,13252,9111,8758,4964,6631,9723,7515,14619
WBGene00001795,2190,2041,1245,572,772,2199,1871,1633,1319,879,446,5623,1255,147,118,59,635,101,202,1091,1170,528
WBGene00001796,148,134,137,49,113,165,154,138,118,111,41,0,270,0,25,7,372,347,66,280,121,116
WBGene00001803,128,89,81,48,122,91,114,43,103,90,42,7828,418,9356,18397,10493,6822,8687,10371,11555,9821,2361
WBGene00001804,11,5,4,2,5,6,7,6,4,1,0,0,47,0,0,0,61,260,0,41,3,119
WBGene00001805,134,112,176,77,170,143,75,171,120,93,142,0,153,0,79,0,282,349,215,538,666,609
WBGene00001806,2,7,5,2,8,11,16,14,17,5,5,0,0,12,0,0,58,0,0,0,38,0
WBGene00001808,766,656,578,401,417,789,820,994,1012,940,1622,6045,8316,3499,2579,2800,2594,1406,2142,4584,4516,2310
WBGene00001811,134,137,134,119,116,142,130,156,98,89,183,0,451,0,130,430,350,17,123,93,61,7
WBGene00001812,1405,1261,1616,1185,1304,1594,1701,1483,1168,1260,638,0,2180,999,1525,398,2927,568,812,2927,5965,2026
WBGene00001813,2615,2200,2554,1829,1873,2435,2512,2717,2207,2180,1899,11145,1523,617,615,432,2402,246,616,2118,2706,297
WBGene00001814,6769,6053,5898,2130,2676,4959,5069,9100,4160,5552,3244,14823,11717,1314,3560,1121,6794,616,1272,15435,4093,3645
WBGene00001815,1900,1527,1566,797,1057,1806,2032,1744,1646,1705,796,1275,1712,413,910,1018,3358,428,442,4135,3984,673
WBGene00001816,1670,1429,1669,948,1322,1519,1568,2049,1283,1641,1450,6,9365,770,1885,2064,9699,653,2698,10941,6131,4523
WBGene00001817,652,588,599,288,418,622,566,462,508,403,216,1,544,1225,6374,2246,5191,6368,7269,5007,6028,1603
WBGene00001818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
WBGene00001819,9691,8515,8003,3089,3509,8158,7477,12571,7230,7713,4865,8062,3854,1576,1915,1032,4977,1144,687,7255,1798,2918
WBGene00001820,339,327,293,285,311,227,190,276,155,138,218,9696,3766,5391,1498,717,1817,615,1632,3419,1126,3984
WBGene00001821,139,120,65,68,94,101,98,79,86,73,41,1,22,795,112,61,180,15,108,209,72,81
WBGene00001823,746,600,700,440,530,631,683,1211,749,629,1156,0,682,1228,496,581,349,263,283,741,566,278
WBGene00001824,523,543,223,174,319,464,369,159,228,251,90,10152,82,1090,2088,457,381,619,34,622,269,110
WBGene00001827,2720,2247,2299,1090,1465,3310,3796,2641,3053,3148,1766,0,1606,1632,1404,1076,3569,968,609,3684,6233,319
WBGene00001828,0,1,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001829,2973,2524,1942,1013,1501,3778,5545,1915,3381,4000,1731,0,2336,534,264,521,5174,84,1432,2163,12852,0
WBGene00001830,2944,2419,2690,1341,1736,3666,4726,2739,3195,3519,2538,0,3451,335,616,21,6961,334,3379,5186,12027,206
WBGene00001831,835,721,924,464,620,1063,1572,1106,1258,1656,1420,0,680,37,182,214,1124,112,435,585,1884,116
WBGene00001832,2374,2124,1775,1178,1536,2582,3432,2083,2289,2757,2057,0,2511,1116,96,422,4555,98,1912,3522,10625,2687
WBGene00001833,1520,1272,1107,597,857,1669,2093,1287,1229,1506,1093,0,1956,883,906,561,3707,356,1744,2071,7519,552
WBGene00001834,2833,2452,2401,1523,2249,2766,3458,2281,2516,2930,1842,3905,2114,2652,2247,1613,3360,1111,931,3099,6609,1580
WBGene00001835,443,442,365,270,442,575,637,435,487,469,410,2146,864,645,481,555,1313,595,587,463,1887,570
WBGene00001836,974,770,777,570,874,984,1070,784,816,882,897,8665,1110,2091,1898,1430,1626,1433,1033,1624,3036,239
WBGene00001837,1217,1041,813,660,1261,1109,1194,637,810,897,310,1132,137,189,432,588,380,661,157,862,358,110
WBGene00001838,506,487,446,320,404,552,703,424,504,592,537,0,575,170,180,209,488,221,433,394,1776,1248
WBGene00001839,87,100,91,47,56,194,285,70,209,180,75,0,69,198,0,39,215,0,513,492,813,0
WBGene00001840,16635,13761,17819,9106,10708,16950,18016,20274,16383,20442,21308,6854,9276,7317,7329,8202,13896,4658,5308,15412,13549,2202
WBGene00001841,38,22,25,3,21,17,15,8,30,10,25,1,0,27,26,78,72,0,31,163,58,0
WBGene00001842,9,17,7,3,2,13,10,14,11,10,9,0,10,235,115,46,36,13,141,61,64,1
WBGene00001843,3177,2998,3797,2308,2810,3098,2740,4529,2889,3089,4398,8591,11509,24557,14804,8053,8051,5254,3469,13813,5685,7576
WBGene00001844,1069,975,857,480,785,963,841,854,886,769,443,17803,901,1509,2356,914,1391,1920,2936,1929,1630,369
WBGene00001851,8445,8304,6135,4146,7291,7185,7823,6519,6132,7314,4412,304,4747,8402,12491,8684,21203,10907,13939,19242,19707,5926
WBGene00001852,206,330,40,21,179,101,87,49,83,55,47,0,153,2716,1281,927,214,185,23,155,77,0
WBGene00001853,2400,2423,1643,1424,1224,1870,2075,2223,2024,3130,4312,15808,12571,13487,20466,17218,13873,9346,11039,15832,19941,6898
WBGene00001854,1438,1485,743,917,746,1056,1227,709,1073,1986,1014,13476,4781,9911,13230,13477,5218,6921,7155,8668,9533,6102
WBGene00001855,3816,3203,3350,1864,2055,3852,5676,4389,4536,6423,7246,0,45374,755,882,1222,29921,950,14081,28785,76999,5006
WBGene00001856,5455,4707,4077,2698,2599,5649,7244,5985,6864,9444,13467,6,32986,737,1143,880,21911,605,9356,21373,47544,3526
WBGene00001857,8,3,2,5,4,5,5,3,6,14,17,0,19,0,1,0,0,0,0,0,7,0
WBGene00001858,51,42,15,12,25,16,32,11,33,56,26,0,304,1068,357,410,262,264,199,350,148,553
WBGene00001859,18,13,53,25,31,36,43,55,21,14,28,0,10,0,0,0,50,1,25,113,5,0
WBGene00001860,3636,2761,3064,1670,2407,3957,4760,3384,3129,3661,2245,0,4173,2346,3265,2231,6166,1424,3582,6030,14919,6714
WBGene00001862,1740,1524,2257,1127,1156,2562,2741,3464,1833,2020,3848,7,1707,174,45,64,1573,65,791,1551,2279,1090
WBGene00001863,5029,4349,8007,3671,8931,4443,4884,5101,2991,3339,1805,8513,6287,1868,11923,6814,16847,6149,15435,16641,11365,17978
WBGene00001864,199,198,265,120,224,287,335,337,322,244,408,0,4774,132,44,400,1945,196,1045,2026,3151,914
WBGene00001865,1124,871,628,487,662,1291,1692,946,1083,1211,977,8911,1191,271,290,140,1908,500,274,1993,3395,0
WBGene00001867,389,417,370,192,237,564,717,454,537,487,391,0,926,234,294,264,425,94,265,196,931,0
WBGene00001869,888,696,780,425,560,1014,1377,1039,1118,1122,1047,0,1140,62,117,77,1414,107,492,1366,2933,334
WBGene00001872,399,316,393,240,259,613,576,520,405,391,394,0,412,3,0,10,578,2,129,632,1426,1
WBGene00001874,2206,1893,1715,912,1246,2415,2996,1827,2124,2386,1353,0,1624,646,1192,435,3339,454,1198,2407,5109,1319
WBGene00001875,11,9,24,21,16,10,14,32,5,24,21,0,328,0,24,92,97,1,0,140,69,3
WBGene00001876,21,13,35,17,21,25,17,21,14,48,33,0,26,0,20,0,65,0,0,121,16,0
WBGene00001877,168,192,205,95,145,122,173,197,175,394,366,2,1677,659,350,356,423,84,210,684,122,508
WBGene00001878,56,72,64,55,52,45,45,84,83,103,135,0,947,33,35,0,108,2,85,291,82,6
WBGene00001879,39,53,76,52,58,29,31,96,44,93,166,2,1657,618,171,242,357,121,144,588,195,543
WBGene00001880,48,62,72,40,65,44,36,57,53,99,106,0,419,160,25,41,108,6,69,207,32,1
WBGene00001881,30,30,40,15,39,33,29,39,38,53,61,0,330,89,70,49,63,22,15,138,41,146
WBGene00001882,14,15,12,10,16,9,16,15,12,23,15,0,68,0,13,0,24,0,0,22,16,1
WBGene00001883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001885,9,16,13,9,5,5,7,22,10,25,46,173,383,31,36,19,38,17,26,63,38,65
WBGene00001886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00001887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001890,5,5,10,13,18,4,4,11,3,2,14,0,337,3,33,4,45,0,0,59,45,155
WBGene00001891,14,34,33,20,24,21,10,19,25,40,58,0,149,0,54,0,23,0,0,49,19,0
WBGene00001892,14,16,38,12,41,20,14,39,20,48,92,0,1107,375,298,200,109,49,71,260,66,224
WBGene00001893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001898,2999,3089,1709,2100,1425,2087,2197,1940,2209,3545,3201,4277,3324,5351,4880,3873,3378,2615,1923,5001,4687,2066
WBGene00001899,11,12,8,8,13,13,9,9,10,6,31,228,208,62,17,14,12,8,2,18,9,0
WBGene00001900,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
WBGene00001901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001905,21,12,12,21,22,8,12,27,7,14,16,0,192,46,96,46,68,0,0,280,65,0
WBGene00001906,123,117,82,98,119,68,74,97,73,52,118,0,1490,770,90,194,366,43,35,838,172,564
WBGene00001907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001909,3699,3366,3407,1916,2937,2804,3140,3689,3248,4829,6223,1,3501,9494,8587,8083,9413,9161,5994,11048,7469,8617
WBGene00001910,295,247,464,208,298,196,247,606,273,244,703,3186,4151,5599,5179,5566,3527,4110,4108,9836,5065,2746
WBGene00001911,2865,2766,3496,2179,3578,2565,2413,5511,2894,3110,6447,52508,53777,145320,124266,122600,50169,70811,82456,111777,70749,72857
WBGene00001912,34,27,40,19,37,45,71,49,75,81,69,0,201,141,30,111,288,115,108,782,409,0
WBGene00001913,0,0,2,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,7,0
WBGene00001914,53,51,43,18,59,36,47,44,52,104,78,0,58,53,4,33,84,0,26,197,129,0
WBGene00001915,2238,1960,2046,1341,2020,1480,1583,2895,1658,1868,3416,29654,22362,58132,48809,48519,34485,19049,28469,70286,26876,21035
WBGene00001916,0,0,20,17,18,0,1,19,0,0,10,0,83,36,26,21,74,62,110,107,197,0
WBGene00001917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001918,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
WBGene00001919,9,4,4,2,11,10,7,8,3,4,12,0,115,16,9,10,10,3,16,30,18,15
WBGene00001920,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00001921,2,4,2,1,7,1,2,4,2,5,4,0,16,0,1,3,5,2,6,10,10,0
WBGene00001922,48,48,47,31,34,38,43,55,64,87,91,0,503,56,32,69,129,0,40,531,203,1
WBGene00001923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001929,6,6,7,1,5,4,8,4,5,10,12,0,142,22,8,0,22,1,6,39,18,0
WBGene00001930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001931,20,19,23,12,11,25,17,28,17,20,26,0,75,10,21,0,28,310,8,50,21,1082
WBGene00001932,0,0,0,0,1,0,0,0,0,0,1,0,12,3,2,3,3,2,0,5,3,0
WBGene00001933,146,213,232,117,180,152,184,184,171,326,320,0,1798,867,101,106,640,0,141,998,557,591
WBGene00001934,223,222,200,89,157,151,198,167,190,337,331,1,3568,4205,663,778,772,186,519,2413,906,858
WBGene00001935,114,106,149,110,118,119,140,128,141,200,213,0,1781,1468,687,411,671,145,243,1690,1024,281
WBGene00001936,116,87,151,114,99,97,101,162,108,147,231,2720,1702,2318,466,523,382,246,166,1739,775,0
WBGene00001937,20,21,24,18,12,18,12,19,24,52,25,0,178,60,0,0,69,1,22,81,89,0
WBGene00001938,13,13,29,27,16,11,18,19,18,15,17,0,357,0,0,20,134,12,48,234,199,3
WBGene00001939,4,4,3,7,5,6,7,4,15,6,12,0,53,2,0,9,24,4,7,8,28,0
WBGene00001940,8,3,11,7,7,12,11,3,16,26,17,0,69,53,0,30,26,8,10,50,54,0
WBGene00001941,24,12,26,6,19,15,41,18,18,25,15,0,180,0,24,0,72,1,0,334,387,292
WBGene00001942,140,102,137,65,107,189,254,183,285,343,272,0,2390,38,43,73,1105,44,536,1669,2696,460
WBGene00001943,2,5,15,8,7,4,2,10,8,8,20,0,41,16,0,0,29,0,16,0,9,3
WBGene00001944,458,397,500,245,236,531,616,649,663,959,1004,0,2751,0,16,141,315,105,817,275,267,224
WBGene00001945,2514,2744,2284,1638,2084,2102,2026,2728,2301,3015,4222,0,1216,2303,1650,1398,1513,564,716,2647,1429,1063
WBGene00001946,5023,4577,3382,3285,4024,4100,4721,4794,4644,6349,11243,2860,1857,5170,5021,4849,5189,3059,3163,5159,6683,1178
WBGene00001947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001948,259,248,312,188,268,159,189,296,175,174,407,0,204,59,11,3,184,44,0,315,97,104
WBGene00001949,152,127,142,125,192,137,134,119,100,112,98,0,133,596,97,0,654,1,0,910,511,4
WBGene00001950,8,7,9,4,10,11,11,3,12,10,8,0,0,162,0,128,0,0,0,0,11,0
WBGene00001951,11,6,59,46,72,9,12,44,13,14,27,0,52,190,0,0,169,0,0,193,5,4
WBGene00001952,21,19,11,2,12,17,22,11,24,46,6,0,58,521,138,146,206,309,0,93,66,2
WBGene00001953,107,131,131,105,155,78,64,149,99,71,185,0,1183,222,0,93,101,1,0,118,162,1729
WBGene00001954,10,17,7,10,18,8,14,24,13,2,15,0,7,115,72,126,119,98,0,226,58,52
WBGene00001955,3142,2960,2130,1541,3052,2321,2462,1811,1830,1697,1361,1538,2142,8381,13243,9988,5917,4259,4123,5243,5186,98
WBGene00001956,8,3,7,1,5,1,7,2,5,6,1,0,6,59,0,0,2,0,0,0,41,0
WBGene00001957,1,3,2,3,5,9,5,3,5,2,9,0,81,241,280,147,465,292,125,651,268,0
WBGene00001958,4,2,0,1,1,1,1,0,6,3,0,0,0,110,51,0,20,0,0,0,7,0
WBGene00001959,5,6,4,1,3,3,1,4,8,5,1,1352,70,5679,839,633,77,454,199,389,446,2234
WBGene00001960,8,6,7,6,14,5,6,9,1,6,8,0,139,293,251,46,37,3,0,37,16,0
WBGene00001961,12,10,8,1,5,13,16,6,10,18,9,0,70,991,761,452,1195,303,3034,3135,909,537
WBGene00001962,7,5,15,10,8,6,3,6,10,6,16,0,0,0,0,0,1,0,0,0,1,0
WBGene00001963,31,31,48,20,17,39,38,66,17,20,51,0,183,52,86,45,142,0,147,337,237,0
WBGene00001964,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,124
WBGene00001965,0,0,3,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,3,0
WBGene00001966,0,0,3,3,3,0,0,5,0,0,3,0,0,0,18,0,20,0,0,11,23,0
WBGene00001967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,2,11
WBGene00001968,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0
WBGene00001971,11251,10789,7516,5072,6222,10067,11833,9306,11347,13016,12842,55,5813,4397,3626,4004,7797,2403,3362,12659,13193,3657
WBGene00001972,2586,2100,2313,1409,2017,2104,2376,2332,2277,2414,2432,28851,10778,29938,31138,21463,21934,22701,14084,30677,16660,17495
WBGene00001973,2398,1578,2551,1239,1593,2750,3435,3263,3278,2786,4226,0,3219,276,290,129,4639,348,1282,3123,9218,992
WBGene00001974,2342,1907,1737,1160,1638,1988,2345,2193,1914,1737,1737,1691,1320,2709,2636,1070,3354,1261,1258,2754,5601,1978
WBGene00001975,1133,966,909,492,531,1296,1324,1483,1544,1334,1886,0,1812,1143,808,413,592,103,265,1064,1328,63
WBGene00001976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001977,4231,3869,3906,2256,2234,5156,6588,4930,5710,8430,6279,0,4370,453,506,650,3833,403,1611,2807,7706,316
WBGene00001978,2128,1719,1353,1070,1810,2306,2316,1277,1544,1353,990,0,2126,2091,1751,1444,2255,1736,520,1858,3947,860
WBGene00001979,1621,1536,1533,1139,1781,1770,2057,1668,1374,1719,1477,0,2170,2308,1789,1644,2878,497,1066,1752,5692,2257
WBGene00001980,5737,5048,4650,4111,7136,4651,5262,3331,3007,4277,1448,18028,8294,12281,17383,12302,12333,9415,12803,16101,18418,6372
WBGene00001981,2,0,4,1,0,1,5,1,4,5,0,0,0,0,0,0,0,0,1,1,26,0
WBGene00001983,3432,3132,2980,1434,1844,3592,4190,2841,3486,3219,2173,0,3990,353,1481,1205,6023,1026,1315,4987,6879,1072
WBGene00001984,467,431,625,357,484,473,480,579,532,797,220,4444,1867,2120,814,473,1318,463,416,1825,216,526
WBGene00001985,159,121,193,115,142,242,289,217,313,225,149,0,228,42,0,0,514,0,159,421,954,12
WBGene00001986,263,264,291,146,357,257,243,284,194,182,213,0,98,1536,1913,2159,2934,3444,2156,2088,2834,905
WBGene00001987,87,93,71,24,78,69,56,28,56,48,52,2313,68,373,325,191,263,246,200,438,322,174
WBGene00001988,50,56,27,10,19,39,33,12,25,33,28,0,2,43,255,103,195,49,216,198,112,4
WBGene00001989,104,74,92,35,81,77,74,79,76,106,78,11,41,382,231,246,540,346,253,680,356,10
WBGene00001990,37,39,46,15,44,51,30,33,33,48,16,3325,695,22760,36538,26521,16875,53043,11561,12386,6827,2958
WBGene00001991,92,99,97,52,140,153,104,150,115,74,87,983,150,660,79,0,136,44,155,639,596,1056
WBGene00001992,37,36,36,7,26,38,36,31,32,35,31,0,17,598,1057,880,559,486,313,844,346,329
WBGene00001993,7750,6800,11784,13645,16360,7390,6974,18089,7231,7688,19151,14490,8809,5309,4098,3094,5958,659,2807,6582,4603,6306
WBGene00001994,2364,2113,1449,1252,2037,2170,2325,1040,1606,1752,720,15346,4017,7380,10801,5677,8507,4550,7120,5749,9870,6317
WBGene00001995,194,233,199,130,185,181,163,186,173,180,249,1933,648,1872,2062,2047,1140,1238,1047,1453,564,404
WBGene00001996,1483,1303,1288,668,886,1217,1657,1621,1616,1808,2828,0,891,640,700,485,1092,201,501,1143,1858,242
WBGene00001997,427,346,300,233,282,492,582,328,434,441,396,0,198,210,2,114,401,82,118,357,673,272
WBGene00001998,484,375,397,256,367,564,744,509,552,683,567,0,422,21,18,69,665,12,218,587,1621,0
WBGene00001999,11348,9611,9085,6503,9362,9415,11155,9521,8214,11329,13346,105667,56966,46631,61122,48432,57819,41632,56222,69151,57357,31422
WBGene00002000,9851,7979,8479,5280,7475,8374,9664,9505,8091,10487,10906,2717,6618,4564,6052,4514,9399,3807,5569,12350,11542,1091
WBGene00002001,3478,2943,3526,1879,2506,3035,3586,4615,3335,3654,4426,5007,2704,2722,3339,2408,3964,1582,1893,3652,3327,2494
