,cg1,cg2,cg3,cg4,cg5,cl1,cl2,cl3,cw1,cw2,cw3,sg2,sg3,sg4,sg5,sg6,sl1,sl2,sl3,sw1,sw2,sw3
WBGene00077524,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00077525,50,55,83,15,15,86,59,80,62,48,53,88,86,73,51,58,57,144,54,185,194,0
WBGene00077526,5166,5507,5475,3213,3087,6286,5523,8766,6851,5837,12293,3645,4286,1336,1283,977,3657,446,1027,4640,3680,2166
WBGene00077527,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,115
WBGene00077531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077534,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077535,2,1,0,0,4,1,0,0,0,0,0,0,12,0,0,0,1,1,0,0,9,0
WBGene00077536,4,6,5,4,5,0,1,1,1,3,1,0,20,369,98,21,204,0,0,97,94,0
WBGene00077537,70,55,50,29,26,73,75,110,65,44,169,0,4,5,12,0,3,0,6,23,3,0
WBGene00077538,19,14,6,7,4,15,8,3,18,16,1,0,66,0,465,196,59,112,31,74,10,287
WBGene00077539,44,41,67,24,46,39,15,117,29,17,100,1,122,122,84,87,75,114,90,92,39,0
WBGene00077543,62,59,48,20,40,70,97,62,46,52,49,0,52,88,12,20,66,2,0,68,288,0
WBGene00077546,0,0,0,1,1,1,2,0,0,3,2,0,0,0,0,0,0,0,0,0,3,0
WBGene00077548,67,88,64,44,45,133,136,51,128,82,67,0,168,24,1,53,147,0,63,18,191,94
WBGene00077549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,86,7,0,39,2
WBGene00077551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077552,5,1,1,0,3,0,4,3,2,1,0,0,0,0,10,14,5,0,0,6,2,94
WBGene00077553,12,14,12,10,10,27,14,11,14,7,7,0,364,27,102,10,71,0,161,29,61,0
WBGene00077555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1
WBGene00077556,2,0,4,0,2,1,2,7,0,0,3,0,69,0,0,0,0,18,3,32,7,100
WBGene00077557,5,10,8,4,6,6,11,12,11,13,26,0,10,0,38,0,7,0,7,18,38,0
WBGene00077558,13,22,7,9,5,12,16,33,22,20,39,0,9,0,0,0,8,14,7,11,23,0
WBGene00077559,64,37,43,15,27,63,50,52,71,70,61,0,14,33,31,18,6,0,39,20,22,1
WBGene00077561,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1
WBGene00077562,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,10,24,14,0,5,4
WBGene00077563,22,24,20,17,18,82,60,22,38,67,9,0,26,0,0,0,111,0,172,4,215,3
WBGene00077564,2,12,5,1,3,11,4,6,1,2,7,0,28,0,0,0,0,2,40,0,28,0
WBGene00077565,2,2,1,0,0,0,0,2,0,0,0,0,12,1733,343,518,31,382,1,0,6,667
WBGene00077566,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
WBGene00077567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0
WBGene00077568,21,19,14,14,19,26,28,38,21,20,20,0,36,19,17,6,10,0,9,47,49,1
WBGene00077569,43,52,52,44,30,132,155,48,104,82,58,0,107,101,102,75,97,0,90,37,243,0
WBGene00077570,0,0,4,2,6,0,0,1,0,0,0,0,50,0,0,6,6,0,0,78,11,0
WBGene00077571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077572,2,3,7,0,2,4,3,2,1,4,0,0,0,124,0,38,81,78,8,60,14,362
WBGene00077573,4,12,22,4,16,7,3,27,7,4,15,0,0,133,232,0,915,506,225,572,418,791
WBGene00077574,0,0,14,2,2,0,1,5,0,0,1,0,0,0,0,0,1,51,30,33,31,1
WBGene00077575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
WBGene00077576,39,45,65,31,25,71,67,80,79,91,89,0,222,0,0,0,38,0,54,0,63,0
WBGene00077577,2,0,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0
WBGene00077579,52,42,58,28,35,97,109,59,65,65,71,0,125,0,104,0,158,0,820,25,231,8
WBGene00077580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
WBGene00077581,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00077582,35,34,34,11,6,46,49,34,62,75,65,0,19,54,90,43,31,161,44,11,36,0
WBGene00077583,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,14
WBGene00077584,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,85,0,0,0,3
